Location,HealthcareName,ServiceType
Ottawa,Ottawa Hospital Research Institute Division of Infectious Diseases Ottawa Hospital General Campus,AIDS Bureau
Ottawa,Ottawa Public Health,AIDS Bureau
Toronto,Parkdale Community Health Centre,AIDS Bureau
Brampton,Peel HIV/AIDS Network,AIDS Bureau
Peterborough,Peterborough AIDS Resource Network,AIDS Bureau
Toronto,Planned Parenthood of Toronto,AIDS Bureau
Timmins,Porcupine Health Unit,AIDS Bureau
St. Catharines,Positive Living Niagara,AIDS Bureau
Toronto,Prisoners with HIV/AIDS Support Action Network,AIDS Bureau
Toronto,Providence St. Joseph's and St. Michael's Healthcare Department of Family and Community Medicine,AIDS Bureau
Toronto,Regent Park Community Health Centre,AIDS Bureau
Brampton,Region of Peel Public Health - Brampton Health and Sexuality Clinic,AIDS Bureau
Mississauga,Region of Peel Public Health - Fairview Clinic,AIDS Bureau
Mississauga,Region of Peel Public Health - Malton Clinic,AIDS Bureau
Mississauga,Region of Peel Public Health - Meadowvale Clinic,AIDS Bureau
Waterloo,Region of Waterloo Public Health,AIDS Bureau
London,Regional HIV/AIDS Connection,AIDS Bureau
Sudbury,Réseau Access Network,AIDS Bureau
Toronto,Rexdale Community Health Centre,AIDS Bureau
Ottawa,Sandy Hill Community Health Centre,AIDS Bureau
Waterloo,Sanguen Health Centre,AIDS Bureau
Southampton,"Saugeen First Nation No. 29, Mino Bimaadsawin Health Centre",AIDS Bureau
Toronto,Scarborough Centre for Healthy Communities,AIDS Bureau
Nobel,Shawanaga First Nation Healing Centre,AIDS Bureau
Toronto,Sherbourne Health Centre,AIDS Bureau
Toronto,"Sick Kids Hospital, HIV Comprehensive Care Program",AIDS Bureau
Barrie,Simcoe Muskoka District Health Unit,AIDS Bureau
Sioux Lookout,Sioux Lookout First Nations Health Authority,AIDS Bureau
Ohsweken,Six Nations of The Grand River,AIDS Bureau
Ottawa,Somerset West Community Health Centre,AIDS Bureau
Toronto,South Riverdale Community Health Centre,AIDS Bureau
Ottawa,South-East Ottawa Community Health Centre,AIDS Bureau
London,St. Joseph's Health Care London,AIDS Bureau
Toronto,"St. Michael's Hospital, Positive Care Clinic",AIDS Bureau
Toronto,St. Stephen's Community House,AIDS Bureau
Sudbury,Sudbury Action Centre for Youth,AIDS Bureau
Sudbury,Sudbury and District Health Unit,AIDS Bureau
Toronto,"Sunnybrook Health Sciences Centre, Medical Outpatient Clinic",AIDS Bureau
Toronto,Syme-Woolner Neighbourhood and Family Centre,AIDS Bureau
Windsor,Tecumseh Byng Clinic Program,AIDS Bureau
Toronto,Teresa Group Child and Family Aid,AIDS Bureau
Hamilton,The AIDS Network,AIDS Bureau
Ottawa,The Ottawa Hospital Department of Medicine Division of Infectious Diseases,AIDS Bureau
Thunder Bay,Thunder Bay District Health Unit,AIDS Bureau
Toronto,"Toronto East General Hospital, Immunodeficiency Clinic",AIDS Bureau
Toronto,Toronto People With AIDS Foundation,AIDS Bureau
Toronto,"Toronto Public Health, Crossways Sexual Health Clinic",AIDS Bureau
Toronto,"Toronto Public Health, Scarborough Sexual Health Clinic",AIDS Bureau
Toronto,"Toronto Public Health, The Works",AIDS Bureau
Toronto,Unison Health and Community Services,AIDS Bureau
Toronto,University Health Network Toronto General Hospital,AIDS Bureau
Ottawa,"University of Ottawa Health Services, Family Health Team",AIDS Bureau
Wallaceburg,"Walpole Island First Nation, Bkejwanong Territory",AIDS Bureau
Toronto,Warden Woods Community Centre,AIDS Bureau
Hamilton,Wayside House of Hamilton,AIDS Bureau
Brampton,Wellfort Community Health Centre,AIDS Bureau
Guelph,Wellington-Dufferin-Guelph Health Unit,AIDS Bureau
Windsor,Windsor Regional Hospital,AIDS Bureau
Windsor,Windsor-Essex Community Health Centre,AIDS Bureau
Toronto,Women's Health in Women's Hands,AIDS Bureau
Richmond Hill,York Region Public Health Services,AIDS Bureau
Toronto,Lakeshore Area Multi-Service Project Inc,Community Health Centre
Ottawa,Carlington Community Health Centre,Community Health Centre
Smiths Falls,North Lanark County Community Health Centre Inc.,Community Health Centre
Windsor,"Canadian Mental Health Association,  Windsor-Essex County Branch",Community Health Centre
Ottawa,Sandy Hill Community Health Centre,Community Health Centre
Ottawa,Centretown Community Health Centre,Community Health Centre
Hastings Highlands,St Francis Memorial Hospital,Community Health Centre
Ottawa,Pinecrest-Queensway Community Health Centre,Community Health Centre
Toronto,Anishnawbe Health Toronto Community Health Centre,Community Health Centre
Kingston,Kingston Community Health Centres,Community Health Centre
Kawartha Lakes,Community Care City of Kawartha Lakes,Community Health Centre
Toronto,Scarborough Centre for Healthy Communities,Community Health Centre
Ottawa,South-East Ottawa Community Health Centre,Community Health Centre
London,London Intercommunity Health Centre,Community Health Centre
West Elgin,West Elgin Community Health Centre,Community Health Centre
Temiskaming Shores,Centre De Sante Communautaire Du Temiskaming,Community Health Centre
Toronto,Davenport Perth Neighbourhood Centre,Community Health Centre
Ottawa,Somerset West Community Health Centre - Yet Keen Seniors,Community Health Centre
Kapuskasing,Centre De Santé Communautaire de Kapuskasing et région,Community Health Centre
Fort Erie,Bridges Community Health Centre,Community Health Centre
Toronto,Flemingdon Health Centre,Community Health Centre
Tweed,Gateway Community Health Centre,Community Health Centre
Exeter,Grand Bend Area Community Health Centre,Community Health Centre
Cornwall,Centre De Santé Communautaire De L'estrie,Community Health Centre
Thunder Bay,Norwest Community Health Centre,Community Health Centre
Toronto,Regent Park Community Health Centre,Community Health Centre
Toronto,Stonegate Community Health Centre,Community Health Centre
Windsor,Windsor Essex Community Health Centre,Community Health Centre
Toronto,Women's Health in Women's Hands Community Health Centre,Community Health Centre
Toronto,Black Creek Community Health Centre,Community Health Centre
Midland,Centre De Santé Communautaire Chigamik Chc,Community Health Centre
Beaverton,Brock Community Health Centre,Community Health Centre
Brampton,Bramalea Community Health Centre,Community Health Centre
Toronto,Unison Health and Community Services.,Community Health Centre
St. Thomas,"Central Chc, St Thomas",Community Health Centre
Markdale,South East Grey Chc,Community Health Centre
Cornwall,Seaway Valley Community Health Centre,Community Health Centre
Toronto,Rexdale Community Health Centre,Community Health Centre
Toronto,Planned Parenthood of Toronto,Community Health Centre
Port Hope,Port Hope Community Health Centre,Community Health Centre
Lambton Shores,North Lambton Community Health Centre,Community Health Centre
Hamilton,Hamilton Urban Core Community Health Centre,Community Health Centre
St. Jacobs,Woolwich Community Health Centre,Community Health Centre
Woodstock,Woodstock and Area Communities Health Centre,Community Health Centre
Toronto,South Riverdale Community Health Centre,Community Health Centre
Vaughan,Vaughan Community Health Centre,Community Health Centre
Ajax,The Youth Centre,Community Health Centre
Wasaga Beach,The South Georgian Bay Community Health Centres,Community Health Centre
Toronto,The Four Villages Community Health Centre,Community Health Centre
Toronto,Taibu Community Health Centre,Community Health Centre
Kitchener,Kitchener Downtown Community Health Centre,Community Health Centre
Barrie,Barrie Community Health Centre,Community Health Centre
Welland,Centre De Santé Communautaire Du Hamilton-Wentworth-Niagara Inc.,Community Health Centre
Toronto,Access Alliance Multicultural Health and Community Services,Community Health Centre
St. Catharines,Quest Community Health Centre,Community Health Centre
Hamilton,North Hamilton Community Health Centre,Community Health Centre
Niagara Falls,Niagara Falls Community Health Centre,Community Health Centre
Timmins,Misiway Milopemahtesewin Community Health Centre,Community Health Centre
Merrickville,Rideau Community Health Services,Community Health Centre
Ignace,Mary Berglund Community Health Centre,Community Health Centre
Toronto,Centre Francophone De Toronto,Community Health Centre
Chatham-Kent,Chatham Kent Community Health Centres,Community Health Centre
Rideau Lakes,Country Roads Community Health Centre,Community Health Centre
Cambridge,Langs Farm Village Association,Community Health Centre
Toronto,East End Community Health Centre,Community Health Centre
Oshawa,Oshawa Community Health Centre,Community Health Centre
Brantford,Grand River Community Health Centre,Community Health Centre
Guelph,Guelph Community Health Centre,Community Health Centre
Noëlville,Centre De Santé Communautaire De Sudbury Est (Noelville & St Charles),Community Health Centre
Ottawa,Ottawa Inner City Health,Community Health Centre
Oshawa,Durham Community Health Centre,Community Health Centre
Toronto,Parkdale Queen West Community Health Centre,Community Health Centre
Toronto,Anne Johnston Health Station - Tobias House Attendant Care,Community Health Centre
Toronto,Canadian Centre for Refugee and Immigrant Health Care,Community Health Centre
Timmins,Centre De Sante Communautaire De Timmins,Community Health Centre
Mississauga,Mississauga Integrated Care Centre,Community Health Centre
Sarnia,The Social Service Bureau of Sarnia-Lambton Incorporated,Community Support Service
Newmarket,York Region Abuse Program,Community Support Service
Toronto,St. Christopher House,Community Support Service
Toronto,Loft Community Services,Community Support Service
Windsor,Hospice of Windsor and Essex County Inc. (The),Community Support Service
Midland,Wendat Community Programs,Community Support Service
Oshawa,Alzheimer Society of Durham Region,Community Support Service
Toronto,The Canadian Hearing Society,Community Support Service
Toronto,Reconnect Community Health Services,Community Support Service
Kenora,Kenora Chiefs Advisory Inc.,Community Support Service
Thunder Bay,Wesway Incorporated,Community Support Service
Toronto,Jane/finch Community and Family Centre,Community Support Service
Toronto,Woodgreen Community Services,Community Support Service
Toronto,Cota Health,Community Support Service
Oshawa,Community Care Durham,Community Support Service
Greenstone,North of Superior Community Mental Health Program Corporation,Community Support Service
Thunder Bay,Lakehead University - Cerah,Community Support Service
Toronto,St. Stephen's Community House,Community Support Service
Southwold,Oneida Nation of the Thames,Community Support Service
Greater Sudbury,N'swakakmok Native Friendship Centre,Community Support Service
Toronto,Ontario Federation of Indian Friendship Centres,Community Support Service
Napanee,Lennox and Addington County Gen Hospital,Community Support Service
Newbury,Four Counties Health Services,Community Support Service
New Tecumseth,Stevenson Memorial Hospital Alliston,Community Support Service
Arnprior,Arnprior & District Memorial Hospital(THE),Community Support Service
Blind River,North Shore Health Network,Community Support Service
Toronto,West Park Healthcare Centre,Community Support Service
Brockville,Brockville General Hospital,Community Support Service
Campbellford,Campbellford Memorial Hospital,Community Support Service
Chapleau,Services De Santé De Chapleau Health Services,Community Support Service
Toronto,North York General Hospital,Community Support Service
Collingwood,Collingwood General and Marine Hospital,Community Support Service
Ottawa,Royal Ottawa Health Care Group,Community Support Service
Guelph,"St Joseph's Health Centre, Guelph",Community Support Service
Hamilton,St Joseph's Health Care System-Hamilton,Community Support Service
Kirkland Lake,Kirkland and District Hospital,Community Support Service
Richmond Hill,Mackenzie Health,Community Support Service
Kawartha Lakes,Ross Memorial Hospital,Community Support Service
London,ST.JOSEPH'S Health Care London,Community Support Service
Burlington,Joseph Brant Hospital,Community Support Service
Manitouwadge,Sante Manitouwadge Health,Community Support Service
Nipigon,Nipigon District Memorial Hospital,Community Support Service
Hastings Highlands,St Francis Memorial Hospital,Community Support Service
Peterborough,Peterborough Reg Health Centre-Psychogeriatric Resource Consultant,Community Support Service
Thunder Bay,St. Joseph's Care Group,Community Support Service
Renfrew,Renfrew Victoria Hospital,Community Support Service
Stratford,Stratford General Hospital,Community Support Service
Toronto,Baycrest Centre for Geriatric Care,Community Support Service
Fort Frances,Riverside Health Care Facilites Inc. (Rainycrest),Community Support Service
Windsor,Hotel-Dieu Grace Hospital,Community Support Service
Ottawa,Bruyère Continuing Care Inc.,Community Support Service
Hamilton,Hamilton Health Sciences Corporation,Community Support Service
Oakville,Halton Healthcare Services Corp,Community Support Service
Brampton,William Osler Health System,Community Support Service
Oshawa,Lakeridge Health,Community Support Service
Belleville,Quinte Healthcare Corporation,Community Support Service
Ottawa,Ottawa Hospital ( the ),Community Support Service
Greater Sudbury,Health Sciences North,Community Support Service
Whitby,Ontario Shores Centre for Mental Health Sciences,Community Support Service
Penetanguishene,Waypoint Centre for Mental Health Care,Community Support Service
North Bay,North Bay Regional Health Centre,Community Support Service
Mississauga,Trillium Health Partners,Community Support Service
Terrace Bay,North of Superior Healthcare Group,Community Support Service
Toronto,Scarborough Health Network,Community Support Service
Toronto,Unity Health Toronto,Community Support Service
Chatham-Kent,Chatham-Kent Health Alliance,Community Support Service
Ottawa,Pinecrest-Queensway Community Health Centre,Community Support Service
Hamilton,De Dwa Da Dehs Nye's Aboriginal Health Access Centre,Community Support Service
Spanish,"Mamaweswen, the North Shore Tribal Council",Community Support Service
Northeast Manitoulin,Noojmowin Teg Health Centre (Sucker Creek First Nation),Community Support Service
Strathroy-Caradoc,South West Regional Healing Lodge,Community Support Service
London,Southwest Ontario Aboriginal Health Access Centre,Community Support Service
Newmarket,The Regional Municipality of York,Community Support Service
Greater Sudbury,Shkagamik Kwe Aboriginal Health Access Centre,Community Support Service
Brampton,Punjabi Community Health Services,Community Support Service
Guelph,Canadian Mental Health Association Waterloo Wellington Dufferin Branch,Community Support Service
Mississauga,Services and Housing in the Province (Ship),Community Support Service
Cornwall,Alzheimer Society of Cornwall and District/societe  Cornwall and Region,Community Support Service
Guelph,Alzheimer Society of Guelph-Wellington,Community Support Service
Goderich,Alzheimer Society of Huron County Inc.,Community Support Service
Kitchener,Alzheimer Society of Kitchener-Waterloo,Community Support Service
Peterborough,Alzheimer Society of Peterborough Haliburton & Northumberland,Community Support Service
Thunder Bay,Alzheimer Society of Thunder Bay,Community Support Service
Toronto,Aphasia Institute,Community Support Service
Collingwood,Breaking Down Barriers-an Independent Living Centre Inc.,Community Support Service
Kawartha Lakes,Community Care City of Kawartha Lakes,Community Support Service
Elmira,"Community Care Concepts of Woolwich, Wellesley and Wilmot",Community Support Service
Madoc,Community Care for Central Hastings,Community Support Service
Haliburton,Community Care Haliburton County,Community Support Service
Campbellford,Community Care Northumberland Inc.,Community Support Service
Aurora,Community Home Assistance to Seniors (Chats),Community Support Service
Perth,Community Home Support - Lanark County,Community Support Service
Thorold,Community Support Services of the Niagara Region,Community Support Service
Hamilton,Dundas Community Services,Community Support Service
Ottawa,Eastern Ottawa Resource Centre,Community Support Service
Powassan,"Eastholme, District of Parry Sound (East) Home for the Aged",Community Support Service
Hamilton,Glanbrook Home Support Programme,Community Support Service
Orillia,"Helping Hands, Orillia",Community Support Service
Orangeville,Hospice Dufferin,Community Support Service
Penetanguishene,Hospice Huronia,Community Support Service
Thunder Bay,Hospice Northwest,Community Support Service
London,St. Joseph's-Hospice of London,Community Support Service
Mississauga,Hearthouse Hospice Inc.,Community Support Service
Kemptville,Kemptville and District Home Support Inc.,Community Support Service
Ottawa,King's Daughters Dinner Wagon (The),Community Support Service
Milverton,Knollcrest Lodge Limited,Community Support Service
London,Meals on Wheels London,Community Support Service
Huntsville,Muskoka Seniors Home Assistance,Community Support Service
Thorold,Ontario Brain Injury Association,Community Support Service
Toronto,Regional Geriatric Program of Toronto,Community Support Service
West Perth,Ritz Lutheran Villa,Community Support Service
Toronto,Self Help Resource Centre of Greater Toronto,Community Support Service
Hawkesbury,Services Communautaires De Prescott Et Russell,Community Support Service
Toronto,The Arthritis Society,Community Support Service
Mississauga,The Canadian Red Cross Society - Ontario Zone - Peel Branch,Community Support Service
Toronto,The Dorothy Ley Hospice Inc.,Community Support Service
Madoc,The Heart of Hastings Hospice,Community Support Service
Toronto,Philip Aziz Centre for Hospice Care,Community Support Service
Belleville,The Regional Hospice of Quinte Inc.,Community Support Service
Peterborough,"Victorian Order of Nurses for Canada - Ontario Branch, Durham",Community Support Service
Toronto,Yorkminster Park Meals on Wheels,Community Support Service
Ottawa,Centre De Services Guigues,Community Support Service
Toronto,Community Care East York Inc.,Community Support Service
Thunder Bay,Corporation of the City of Thunder Bay,Community Support Service
Toronto,Lumacare Services,Community Support Service
Toronto,Mid Toronto Community Services Inc.,Community Support Service
Toronto,Momiji Health Care Society,Community Support Service
Mississauga,Peel Senior Link,Community Support Service
Toronto,St. Clair O'connor Community Inc,Community Support Service
Ottawa,The Glebe Centre Inc.,Community Support Service
Ottawa,The Good Companions Seniors' Centre,Community Support Service
Toronto,The Ontario Community Ctr for the Deaf Inc(bob Rumball Ctr for the Deaf),Community Support Service
Toronto,Family Services Association of Toronto,Community Support Service
Toronto,York West Senior Citizens Centre,Community Support Service
Oakville,Acclaim Health and Community Care Services,Community Support Service
South Dundas,Dundas County Hospice,Community Support Service
Toronto,Hospice Association of Ontario (Hao),Community Support Service
Kitchener,Hospice of Waterloo Region,Community Support Service
Peterborough,Hospice Peterborough,Community Support Service
Newmarket,Palliative Care Network for York Region,Community Support Service
Toronto,Access Apartments for Physically Disabled Adults in Toronto,Community Support Service
Belleville,Alzheimer Society of Belleville-Hastings,Community Support Service
Newmarket,Alzheimer Society of York Region,Community Support Service
Windsor,Assisted Living Southwestern Ontario,Community Support Service
Toronto,Bellwoods Centres for Community Living Inc.,Community Support Service
St. Catharines,Benevolent Society  Heidehof  for the Care of the Aged,Community Support Service
Chatham-Kent,New Beginnings Abi and Stroke Recovery Association,Community Support Service
Hamilton,Brain Injury Services of Hamilton,Community Support Service
Thunder Bay,Brain Injury Services of Northern Ontario,Community Support Service
Cobourg,"Branch 133, Legion Village Inc.",Community Support Service
Toronto,Carefirst Seniors Community Services Association,Community Support Service
Toronto,Central and Northern Etobicoke Home Support Services,Community Support Service
Toronto,Central Neighbourhood House Associaton,Community Support Service
Belleville,Cheshire Homes (Hastings-Prince Edward) Inc.,Community Support Service
London,"Cheshire Homes of London, Inc.",Community Support Service
Brockville,"Community & Primary Health Care - Lanark, Leeds and Grenville",Community Support Service
Toronto,Community Head Injury Resource Services of Toronto,Community Support Service
Greater Sudbury,Meals on Wheels (Sudbury) Inc.,Community Support Service
Peterborough,Community Counselling and Resource Centre,Community Support Service
St. Thomas,Corporation of the City of St. Thomas - Valleyview Home,Community Support Service
Plympton-Wyoming,Corporation of the County of Lambton - Senior Services,Community Support Service
Midhurst,Corporation of the County of Simcoe (Simcoe Village),Community Support Service
Toronto,Etobicoke Services for Seniors,Community Support Service
Peterborough,Four Counties Brain Injury Association,Community Support Service
Fort Erie,Fort Erie Meals on Wheels,Community Support Service
Cornwall,Glen-Stor-Dun Lodge (City of Cornwall),Community Support Service
Hamilton,Good Shepherd Centre Hamilton (The),Community Support Service
Hamilton,Helen Zurbrigg Non-Profit Homes Inc.,Community Support Service
Owen Sound,Home and Community Support Services of Grey-Bruce,Community Support Service
Elliot Lake,Huron Lodge Community Service Board Inc.,Community Support Service
Greater Sudbury,Ican-Independence Centre and Network,Community Support Service
Kitchener,Independent Living Centre of Waterloo Region,Community Support Service
Barrie,Ioof Seniors Homes Inc.,Community Support Service
Brantford,John Noble Centre Day and Stay Program,Community Support Service
Peterborough,Kawartha Participation Projects,Community Support Service
Kitchener,"K-W Seniors Day Program, Incorporated",Community Support Service
Plympton-Wyoming,Lambton Elderly Outreach Incorporated,Community Support Service
Napanee,Lennox and Addington Seniors Outreach Services,Community Support Service
Toronto,Neighbourhood Link Support Services,Community Support Service
Welland,Niagara District Homes Committee for the Physically Disabled (The),Community Support Service
St. Catharines,Niagara Ina Grafton Gage Home of the United Church,Community Support Service
Kenora,Northwestern Independent Living Services Inc.,Community Support Service
Toronto,Nucleus Independent Living Inc.,Community Support Service
Sault Ste. Marie,Ontario Finnish Resthome Association,Community Support Service
Hamilton,Ontario March of Dimes - Hamilton,Community Support Service
Thorold,Ontario March of Dimes - Niagara,Community Support Service
Oshawa,Oshawa Senior Citizens Centre,Community Support Service
Ottawa,Ottawa West Community Support,Community Support Service
Toronto,Pace Independent Living,Community Support Service
Toronto,Parkdale Golden Age Foundation,Community Support Service
Hamilton,Ableliving Services Inc.,Community Support Service
Brantford,Participation House Brantford,Community Support Service
Kitchener,Traverse Independence Not-for-Profit,Community Support Service
Belleville,Pathways to Independence,Community Support Service
Mississauga,Peel Halton Dufferin Acquired Brain Injury Services,Community Support Service
Ottawa,Personal Choice Independent Living/choi Personnel Vie Autonome,Community Support Service
Niagara-on-the-Lake,Pleasant Manor Retirement Village,Community Support Service
Thorold,Regional Municipality of Niagara,Community Support Service
Kingston,Rehabilitation Foundation for the Disabled (Omd) - East Region,Community Support Service
Toronto,Rehabilitation Foundation for the Disabled - Durham,Community Support Service
Mississauga,Rehabilitation Foundation for the Disabled - Peel Region,Community Support Service
Sarnia,Rehabilitation Foundation for the Disabled (Omd) - Sarnia Branch,Community Support Service
Toronto,Rehabilitation Foundation for the Disabled (Ont March of Dimes) - Tor,Community Support Service
Richmond Hill,"Rehabilitation Foundation for the Disabled-Phys. Disabled, York",Community Support Service
Oakville,S.E.N.A.C.A. Seniors Day Program - Halton Incorporated,Community Support Service
Toronto,Scarborough Support Services for the Elderly Inc.,Community Support Service
Toronto,"Senior Peoples' Resources in North Toronto, Inc.",Community Support Service
Mississauga,Seniors Life Enhancement Centres,Community Support Service
Barrie,Independent Living Services of Simcoe County and Area,Community Support Service
Chatham-Kent,"St. Andrew's Residence, Chatham Inc.",Community Support Service
Toronto,St. Clair West Services for Seniors Inc.,Community Support Service
Oshawa,Brain Injury Association of Durham,Community Support Service
Hamilton,St. Joseph's Home Care,Community Support Service
Saint Marys,Corporation of the Town of St. Marys-Home Support Services,Community Support Service
Toronto,St. Matthew's Bracondale House,Community Support Service
Toronto,Storefront Humber Inc.,Community Support Service
Hamilton,The Governing Council of the Salv Army in Cda (Mountberry Adult Dayserv),Community Support Service
Oakville,Regional Municipality of Halton - Supportive Housing,Community Support Service
Greater Sudbury,"Rehabilitation Foundation for the Disabled, Omd-Sudbury",Community Support Service
Toronto,The Second Mile Club of Toronto,Community Support Service
Toronto,Three Trilliums Community Place Inc.,Community Support Service
Markham,New Unionville Home Society,Community Support Service
Lincoln,United Mennonite Home for the Aged,Community Support Service
Peterborough,V.O.N. Hastings Northumberland Prince Edward Branch,Community Support Service
Ottawa,Vha Health and Home Support,Community Support Service
Peterborough,"Victorian Order of Nurses for Canada, Ontario Branch - Peterborough",Community Support Service
Ottawa,Vista Centre,Community Support Service
Toronto,Scarborough Centre for Healthy Communities,Community Support Service
Ottawa,Western Ottawa Community Resource Centre,Community Support Service
Hamilton,Hamilton Jewish Home for the Aged - Shalom Village,Community Support Service
Pembroke,Marianhill Inc.,Community Support Service
North Bay,Physically Handicapped Adults' Rehab Association -Nipissing-Parry Sound,Community Support Service
Parry Sound,The Friends,Community Support Service
Ottawa,Metis Nation of Ontario,Community Support Service
Christian Island 30,Beausoleil First Nation,Community Support Service
Bluewater,Thessalon First Nation,Community Support Service
Barrie,Alzheimer Society of Simcoe County,Community Support Service
Hamilton,St. Matthew's House,Community Support Service
St. Catharines,Mennonite Brethren Senior Citizens Home (Tabor Manor),Community Support Service
Midhurst,"Corporation of the County of Simcoe (Georgian, Trillium, Sunset Manors)",Community Support Service
London,Corporation of the City of London (Dearness Home),Community Support Service
London,Dale Brain Injury Services Inc.,Community Support Service
Vankleek Hill,Glengarry Inter-Agency Group Inc.,Community Support Service
St. Catharines,Brain Injury Community Re-Entry (Niagara) Inc.,Community Support Service
London,Participation House Support Services - London and Area,Community Support Service
Cochrane,Aboriginal Peoples' Alliance of Northern Ontario (Apano),Community Support Service
Brantford,Adult Recreation Therapy Centre,Community Support Service
St. Catharines,Aids Niagara,Community Support Service
